source,line,function,wrapper,recognized_guard_calls
apps/api/convex/automations/automations.ts,206,update,authedMutation,requireAutomation
apps/api/convex/automations/automations.ts,228,updateTrigger,authedMutation,requireDraftAutomation
apps/api/convex/automations/automations.ts,274,activate,authedMutation,assertFeatureEnabled; requireAutomationManage
apps/api/convex/automations/automations.ts,292,pause,authedMutation,assertFeatureEnabled; requireAutomationManage
apps/api/convex/automations/automations.ts,310,resume,authedMutation,assertFeatureEnabled; requireAutomationManage
apps/api/convex/automations/automations.ts,328,duplicate,authedMutation,requireAutomation
apps/api/convex/automations/automations.ts,374,remove,authedMutation,requireAutomation
apps/api/convex/automations/steps.ts,163,addStep,authedMutation,requireDraftAutomation; requirePluginStepAuthorization
apps/api/convex/automations/steps.ts,234,updateStep,authedMutation,requireDraftAutomation; requirePluginStepAuthorization
apps/api/convex/automations/steps.ts,266,reorderSteps,authedMutation,requireDraftAutomation
apps/api/convex/automations/steps.ts,322,removeStep,authedMutation,requireDraftAutomation
apps/api/convex/autonomy.ts,32,listRules,adminQuery,assertFeatureEnabled
apps/api/convex/autonomy.ts,188,upsertRule,authedMutation,requireOrgPermission
apps/api/convex/autonomy.ts,240,setSenderAutonomy,authedMutation,requireOrgPermission
apps/api/convex/autonomy.ts,298,deleteRule,authedMutation,requireOrgPermission
apps/api/convex/autonomyFeedback.ts,59,getFeedbackStats,adminQuery,
apps/api/convex/autonomyOutcome.ts,159,listAutoDemotions,adminQuery,assertFeatureEnabled
apps/api/convex/autonomyOutcome.ts,188,acknowledgeAutoDemotion,authedMutation,requireOrgPermission; assertFeatureEnabled
apps/api/convex/autonomySuggestions.ts,26,listGraduationSuggestions,adminQuery,assertFeatureEnabled
apps/api/convex/autonomySuggestions.ts,104,acceptGraduationSuggestion,authedMutation,requireOrgPermission; assertFeatureEnabled
apps/api/convex/backups.ts,71,getBackupState,authedQuery,requirePlatformAdmin
apps/api/convex/backups.ts,96,setScheduleEnabled,authedMutation,requirePlatformAdmin
apps/api/convex/backups.ts,114,logManualRun,authedMutation,requirePlatformAdmin
apps/api/convex/blockedEmails.ts,59,listByTeam,authedQuery,
apps/api/convex/blockedEmails.ts,112,listProviderProvenance,authedQuery,requireOrgPermission
apps/api/convex/blockedEmails.ts,143,getByEmail,authedQuery,
apps/api/convex/blockedEmails.ts,153,add,authedMutation,requireOrgPermission
apps/api/convex/blockedEmails.ts,213,remove,authedMutation,requireOrgPermission
apps/api/convex/blockedEmails.ts,277,bulkAdd,authedMutation,requireOrgPermission
apps/api/convex/blockedEmails.ts,356,getCountsByReason,authedQuery,
apps/api/convex/campaigns/abTest.ts,90,enableABTest,authedMutation,requireDraftCampaign; requirements; required
apps/api/convex/campaigns/abTest.ts,167,disableABTest,authedMutation,requireDraftCampaign
apps/api/convex/campaigns/abTest.ts,195,declareABTestWinner,authedMutation,requireOrgPermission
apps/api/convex/campaigns/abTest.ts,286,getABTestStats,authedQuery,
apps/api/convex/campaigns/analytics.ts,15,getComparableSentCampaigns,authedQuery,
apps/api/convex/campaigns/archiveHttp.ts,22,getCampaignArchive,publicTokenEndpoint,
apps/api/convex/campaigns/audienceResolution.ts,181,countRecipients,authedQuery,
apps/api/convex/campaigns/campaigns.ts,23,getWithRelations,authedQuery,
apps/api/convex/campaigns/campaigns.ts,51,updateBasics,authedMutation,requireDraftCampaign
apps/api/convex/campaigns/campaigns.ts,125,updateAudience,authedMutation,requireDraftCampaign
apps/api/convex/campaigns/campaigns.ts,150,updateContent,authedMutation,requireDraftCampaign
apps/api/convex/campaigns/campaigns.ts,182,duplicate,authedMutation,requireOrgPermission
apps/api/convex/campaigns/campaigns.ts,216,remove,authedMutation,requireOrgPermission
apps/api/convex/campaigns/campaigns.ts,252,list,authedQuery,assertFeatureEnabled
apps/api/convex/campaigns/campaigns.ts,271,create,authedMutation,assertFeatureEnabled; requireOrgPermission
apps/api/convex/campaigns/capacityPreflight.ts,464,getCampaignCapacityPlan,authedQuery,
apps/api/convex/campaigns/organization.ts,9,countByStatusByOrganization,authedQuery,
apps/api/convex/campaigns/organization.ts,85,listAttentionCandidates,authedQuery,assertFeatureEnabled
apps/api/convex/campaigns/scheduling.ts,12,cancel,authedMutation,requireOrgPermission; assertTransitioned
apps/api/convex/campaigns/scheduling.ts,42,reschedule,authedMutation,requireOrgPermission
apps/api/convex/campaigns/scheduling.ts,107,unschedule,authedMutation,requireOrgPermission; assertTransitioned
apps/api/convex/campaigns/scheduling.ts,137,schedule,authedMutation,requireDraftCampaign; requireOrgPermission; assertTransitioned
apps/api/convex/campaigns/sendPlanQueries.ts,152,getCampaignSendPlan,authedQuery,
apps/api/convex/campaigns/senders.ts,142,list,authedQuery,requireCampaignSendersManage
apps/api/convex/campaigns/senders.ts,171,listForPicker,authedQuery,requireOrgMember; verifyDomain; hasPermission
apps/api/convex/campaigns/senders.ts,217,create,authedMutation,requireCampaignSendersManage; assertVerifiedSenderDomain
apps/api/convex/campaigns/senders.ts,258,update,authedMutation,requireCampaignSendersManage
apps/api/convex/campaigns/senders.ts,282,setDefault,authedMutation,requireCampaignSendersManage
apps/api/convex/campaigns/senders.ts,298,remove,authedMutation,requireCampaignSendersManage
apps/api/convex/campaigns/sendingReadiness.ts,170,getSendingReadiness,authedQuery,
apps/api/convex/campaigns/testSend.ts,94,sendTestEmail,authedAction,assertCampaignSenderAllowed
apps/api/convex/campaigns/testSend.ts,215,sendTestEmailFromTemplate,authedAction,required; assertCampaignSenderAllowed
apps/api/convex/channels/outbound.ts,264,sendChannelMessage,authedAction,requireOrgPermission; assertOrgAdmin
apps/api/convex/chat/attachments.ts,26,generateUploadUrl,chatMutation,requireOrgPermission
apps/api/convex/chat/attachments.ts,40,registerAttachment,chatMutation,requireOrgPermission; assertUnregisteredMediaStorage
apps/api/convex/chat/attachments.ts,98,getAttachmentDetails,chatQuery,assertCanReadRoom
apps/api/convex/chat/dms.ts,32,findOrCreateDm,chatMutation,requireOrgPermission; assertChatTargetsAreOrgMembers
apps/api/convex/chat/dms.ts,99,listMyDms,chatQuery,
apps/api/convex/chat/emailLink.ts,29,linkChannelToInboxThread,chatMutation,getMutationContext; assertCanAdministerRoom
apps/api/convex/chat/emailLink.ts,64,unlinkChannel,chatMutation,getMutationContext; assertCanAdministerRoom
apps/api/convex/chat/emailLink.ts,87,getLinkedThreadView,chatQuery,assertCanReadRoom
apps/api/convex/chat/emailLink.ts,139,findChannelsForInboxThread,chatQuery,
apps/api/convex/chat/members.ts,28,joinChannel,chatMutation,requireOrgPermission
apps/api/convex/chat/members.ts,63,leaveRoom,chatMutation,getMutationContext
apps/api/convex/chat/members.ts,96,addMember,chatMutation,getMutationContext; assertCanAdministerRoom; assertChatTargetsAreOrgMembers
apps/api/convex/chat/members.ts,130,removeMember,chatMutation,getMutationContext; assertCanAdministerRoom
apps/api/convex/chat/members.ts,163,setMemberRole,chatMutation,getMutationContext; assertCanAdministerRoom
apps/api/convex/chat/members.ts,203,listRoomMembers,chatQuery,assertCanReadRoom
apps/api/convex/chat/mentions.ts,47,listMyUnreadMentions,chatQuery,
apps/api/convex/chat/mentions.ts,98,countMyUnreadMentions,chatQuery,
apps/api/convex/chat/mentions.ts,114,markMentionRead,chatMutation,getMutationContext
apps/api/convex/chat/mentions.ts,134,searchOrgMembersForMention,chatQuery,
apps/api/convex/chat/messages.ts,50,listMessages,chatQuery,assertCanReadRoom
apps/api/convex/chat/messages.ts,120,sendMessage,chatMutation,requireOrgPermission; assertCanWriteRoom; requireMessageText
apps/api/convex/chat/messages.ts,240,editMessage,chatMutation,getMutationContext; requireMessageText
apps/api/convex/chat/messages.ts,261,deleteMessage,chatMutation,getMutationContext; hasPermission
apps/api/convex/chat/messages.ts,288,markRead,chatMutation,getMutationContext
apps/api/convex/chat/messages.ts,321,myUnreadCounts,chatQuery,
apps/api/convex/chat/rooms.ts,31,createChannel,chatMutation,requireOrgPermission; requireChannelName; assertChatTargetsAreOrgMembers
apps/api/convex/chat/rooms.ts,105,updateChannel,chatMutation,getMutationContext; assertCanAdministerRoom; requireChannelName
apps/api/convex/chat/rooms.ts,164,archiveChannel,chatMutation,getMutationContext; assertCanAdministerRoom
apps/api/convex/chat/rooms.ts,180,unarchiveChannel,chatMutation,getMutationContext; assertCanAdministerRoom
apps/api/convex/chat/rooms.ts,200,listMyChannels,chatQuery,
apps/api/convex/chat/rooms.ts,238,listPublicChannels,chatQuery,
apps/api/convex/chat/rooms.ts,271,getRoom,chatQuery,
apps/api/convex/codeWorkTasks.ts,82,listRecent,authedQuery,requirePermission; hasPermission
apps/api/convex/codeWorkTasks.ts,140,create,authedMutation,requireOrgPermission
apps/api/convex/codeWorkTasks.ts,167,cancel,authedMutation,requireOrgPermission
apps/api/convex/connectedApps/actions.ts,58,register,authedAction,
apps/api/convex/connectedApps/actions.ts,85,rotateSecret,authedAction,
apps/api/convex/connectedApps/actions.ts,107,testConnection,authedAction,
apps/api/convex/connectedApps/mutations.ts,112,enable,authedMutation,
apps/api/convex/connectedApps/mutations.ts,120,disable,authedMutation,
apps/api/convex/connectedApps/mutations.ts,132,revoke,authedMutation,
apps/api/convex/connectedApps/mutations.ts,139,remove,authedMutation,requireOrgPermission
apps/api/convex/connectedApps/queries.ts,19,listByTeam,authedQuery,requireOrgPermission
apps/api/convex/contacts/activities.ts,22,listByContact,authedQuery,
apps/api/convex/contacts/activities.ts,60,getRecent,authedQuery,
apps/api/convex/contacts/analytics.ts,23,getAudienceStats,authedQuery,
apps/api/convex/contacts/analytics.ts,49,getSubscriberGrowth,authedQuery,
apps/api/convex/contacts/analytics.ts,107,getRecent,authedQuery,
apps/api/convex/contacts/analytics.ts,131,getTopTopics,authedQuery,
apps/api/convex/contacts/api.ts,160,createContact,createAuthenticatedHandler,requireScope; required
apps/api/convex/contacts/api.ts,252,getContact,createAuthenticatedHandler,requireScope; required
apps/api/convex/contacts/api.ts,292,updateContact,createAuthenticatedHandler,requireScope; required
apps/api/convex/contacts/api.ts,376,deleteContact,createAuthenticatedHandler,requireScope; required
apps/api/convex/contacts/api.ts,425,listContacts,createAuthenticatedHandler,requireScope
apps/api/convex/contacts/contacts.ts,24,get,authedQuery,
apps/api/convex/contacts/contacts.ts,43,getByIds,authedQuery,
apps/api/convex/contacts/contacts.ts,89,list,authedQuery,
apps/api/convex/contacts/contacts.ts,116,create,authedMutation,requireOrgPermission
apps/api/convex/contacts/contacts.ts,166,update,authedMutation,requireOrgPermission
